id,name,activity_type,distance,elevation_gain,elevation_low,elevation_high,best_time,average_top_10_time,tenth_best_time,total_effort_count,total_athlete_count
3823161,ste suzanne Up,Ride,1206.92,61.6521,7.0,68.1,99,108.6,114.0,2863.0,892.0
17697373,Pierrefonds Cap Long,Run,2334.0,0.0,24.0,28.0,489,506.9,517.0,8578.0,2502.0
25573362,1000 m chemin l'étang ,Run,1002.0,18.8,-13.8,19.2,31,179.3,203.0,14604.0,2833.0
25573694,1000m retour l'étang,Run,999.0,15.4,-0.6,23.6,186,197.4,203.0,14657.0,2926.0
17932326,va plus vite si tu veux t'envoler 2,Run,2125.0,2.2,2.8,11.5,440,476.5,485.0,6225.0,2223.0
22940204,chemin etang du gol retour,Run,2870.0,4.0,20.0,24.0,568,599.9,631.0,8767.0,2199.0
20912747,ptitour,Run,3837.5,21.6,59.0,75.6,877,1018.8,1107.0,135.0,64.0
23615508,1ère partie RN5 Cilaos Road,Run,1356.8,45.4,200.6,246.0,333,362.6,378.0,938.0,165.0
20369030,Bas Chemin Piton,Run,1403.2,38.0,65.4,98.0,337,374.6,409.0,798.0,118.0
8418508,Boulevard Hubert,Run,1305.9,8.0,-22.0,-19.0,193,235.8,246.0,46093.0,10793.0
17372679,Montée directe piton mont vert,Run,129.3,55.6,539.4,595.0,8,31.3,47.0,1632.0,574.0
13499424,Piton Babet,Run,407.2,94.2,10.2,104.4,116,163.5,184.0,12691.0,924.0
26037454,A.R. Parking - Plateau du Morne ,Run,9792.4,1077.6,1229.0,2247.4,6124,7664.7,8442.0,187.0,122.0
5880895,Rue Petite Plaine Climb,Run,564.3,150.4,669.9,807.3,289,371.1,409.0,4937.0,2065.0
23143573,Chemin canne,Run,1710.2,0.0,394.4,557.5,332,402.0,433.0,653.0,178.0
22823466,"Basse Vallée ""Kiosque-La Roche""",Run,2641.5,830.3,721.1,1551.4,2574,2720.1,2890.0,2458.0,1737.0
